"Story","Title","Result","Date","Stability","Duration (s)"
"Exceptions in cucumber hooks must result in failed scenario execution","Execute some hook before scenario","ERROR","2018-03-08T16:07:59.556+01:00[Europe/Vienna]","0.0","0.18"
"Exceptions in cucumber hooks must result in failed scenario execution","Execute some hook before scenario outline","ERROR","2018-03-08T16:07:59.747+01:00[Europe/Vienna]","0.0","0.68"
